ID,Label
1,0
2,0
3,0
4,2
5,2
6,0
7,0
8,2
9,0
10,0
11,0
12,0
13,0
14,0
15,2
16,0
17,0
18,0
19,0
20,0
21,0
22,2
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,2
34,0
35,2
36,2
37,0
38,0
39,0
40,2
41,0
42,2
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,2
54,0
55,0
56,0
57,0
58,0
59,0
60,2
61,2
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,2
70,0
71,0
72,0
73,2
74,0
75,0
76,0
77,2
78,2
79,2
80,2
81,0
82,2
83,0
84,0
85,0
86,0
87,0
88,0
89,2
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,2
107,0
108,0
109,0
110,0
111,2
112,0
113,2
114,0
115,2
116,2
117,2
118,2
119,2
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
128,0
129,0
130,0
131,0
132,0
133,0
134,2
135,0
136,0
137,0
138,0
139,0
140,0
141,1
142,0
143,2
144,2
145,2
146,2
147,0
148,0
149,0
150,0
151,0
152,0
153,2
154,2
155,0
156,0
157,0
158,0
159,0
160,0
161,0
162,2
163,0
164,0
165,2
166,0
167,0
168,0
169,2
170,0
171,2
172,0
173,0
174,0
175,2
176,0
177,0
178,0
179,0
180,0
181,2
182,0
183,2
184,0
185,0
186,2
187,0
188,0
189,2
190,2
191,2
192,2
193,2
194,2
195,0
196,0
197,0
198,0
199,0
200,0
201,2
202,2
203,2
204,0
205,2
206,2
207,2
208,0
209,0
210,2
211,0
212,0
213,0
214,2
215,2
216,2
217,0
218,0
219,0
220,0
221,0
222,0
223,2
224,0
225,0
226,0
227,0
228,0
229,2
230,0
231,0
232,2
233,2
234,0
235,2
236,0
237,0
238,2
239,0
240,0
241,0
242,0
243,2
244,2
245,0
246,2
247,0
248,0
249,0
250,0
251,2
252,2
253,0
254,0
255,2
256,0
257,2
258,2
259,0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,2
275,2
276,0
277,0
278,0
279,0
280,2
