id,party,tweet,alignment
480,Republican,"oregon families cannot take anymore government burdens inflation increased taxes amp prices labor increases increase cost of products price gouging enough we cannot sustain these bad policies i will fight for you and and your bottom line fightingagainstcommunism",0
481,Republican,"our citizens will be left on the street and where are our leaders sitting with their hands in the air waiting for washington to save us we need leadership that will fight for oregon n",0
482,Democrat,"our congressional delegation fought the last administration tooth and nail to get the portal bridge replaced i grilled dot officials in hearings held up for other things they wanted we even pretended portal was not part of the gateway project so trump wouldn t block it",0
483,Democrat,"our creative economy makes this region great - the art the music grateful to receive the support of western wisconsin s own themcouleeboys we re endorsing rebeccaforwi because the coulee region needs a homegrown working class voice to represent us in washington",0
484,Democrat,"our first phonebank was a success with 100s of calls made thank you so much to the volunteers and especially my parents who are the best phone bankers n nlet s get all the hernandez kids elected n nthanks to hernandez4pima for doing this jointly with us",2
485,Democrat,"our hearts break again today for the innocent lives taken in uvalde as i think of the unimaginable grief those families are feeling and the terror the victims faced i m more committed than ever to enacting smarter gun controls our families deserve so much better than this",0
486,Democrat,"our latest ad is out my opponent is trying to walk back her extreme stance on abortion but the fact remains repmmm co-sponsored a bill that would outlaw all abortions with no exceptions for rape incest or the woman s life n abortionrights n abortionishealthcare",0
487,Democrat,"our police officers are asked to do too much with too little i am happy to see the house pass the invest to protect act to provide our small departments with the resources they need to keep our communities safe",0
488,Republican,"our team ran the numbers and it turns out that 367b is in fact greater than the 0 potus assured us this bill would cost",0
489,Democrat,"out and about in joco today with laurakellyks n nit s almost game day folks time to buckle down and get out the vote - sign up here to volunteer with us",2
490,Republican,"over 350 000 raised in our first quarter thank you to everyone who chipped in to make this possible together we re going to defeat abigail spanberger in november",2
491,Democrat,"over 600 volunteers knocking on doors and talking to voters yesterday alone more than any house campaign in the country we re doing this the right way and we re only growing stronger",2
492,Republican,"over the past five decades what good has joe biden done for the black community",0
493,Democrat,"oxforddiplomat in 2022 north carolinians will elect a congressman who understands why comparing women to polaroid cameras is psychotic n ndonate today and help our campaign defeat madison cawthorn",0
494,Democrat,"passed a bipartisan us house bill - the most ambitious legislation targeting military toxic exposure since the vietnam war it s supported by 11 veterans service organizations n nvote 256-174 34 gop n nashley hinson voted no n n ia02 n n",0
495,Republican,"patilapedro or we could actually go back to producing it domestically",0
496,Democrat,"pattonoswalt i knew i should have signed up for soundcloud n nin the meantime everyone can contribute to my campaign at and help elect arizona s first-ever native american representative in congress n nok back to freaking out thank you patton oswalt",2
497,Republican,"peoples_pundit tedbuddnc the nrsc is they want him to lose they are throwing races so they can blame trump amp america first then they will say this is why you need to nominate our gope candidates n nit s sad but predictable party s are supposed to listen to their base not beat them into submission",0
498,Republican,"perhaps it would be wise of congress to forgo starting any new social programs - at least until the granddaddy of them all is fully solvent and hardworking legal residents can be assured of late life financial peace of mind",0
499,Republican,"peterschiff it does feel like 20 especially when the gas price got doubled inflacion gasprices",0
500,Democrat,"photo from a drone over virginia beach",2
501,Democrat,"please chip in 1 or any amount now to my race against him i understand the struggles working families have money is tight i grew up watching my mother struggle ni believe in you and you can bet your sweet a_ _ i will fight for you in congress n",0
502,Democrat,"please join joekerner4iowa lisa4iowa for an open meet amp greet thursday",2
503,Republican,"please join us for a campaign event in thomasville this thursday n nfolks across southwest and middle georgia know i ll fight for them everyday as their next congressman from ga-02 and i m honored to have so much support in this runoff election gapol ga02",2
504,Democrat,"please join us on march 29th at 5 30 pm to help kickoff the campaign n nrsvp to donate or to volunteer go to",2
505,Democrat,"please make a donation to ensure he never gets anywhere near the united states senate",2
506,Democrat,"polls are closed here we go thank you to everyone who helped me get this far n betonbrown",2
507,Republican,"potus - us household net worth falls over 6 trillion in q2 n- average cost to raise a family up 9 n- 70 of americans say us is on wrong track",0
508,Republican,"potus president trump reached a 60-year record low unemployment rate so actually you are doing worse since the only jobs you created were the same ones your tyrannical party cost millions of americans by implementing your undemocratic lockdowns",0
509,Republican,"potus trump did this and you reversed his decision via eo on your first day in office",0
510,Republican,"potus why not chicago or milwaukee",2
511,Republican,"potus working for china maybe n n",0
512,Democrat,"pramilajayapal indydemsstaff who wants to call pramila amp invite her n americanyouthf1 liamomaraiv seanframe ericg1247 shahidforchange maebe_a_girl aazamishervin callforcongress rozacalderon",2
513,Republican,"president joebiden s press secretary said today that their economic plan is working n n gas baby formula shortages and high grocery prices aren t working for everyday americans",0
514,Republican,"pritzker s illinois",2
515,Republican,"proud of teamgarcia for their work cleaning up pelona vista park and the surrounding streets in palmdale today awesome to see our team continue to take the time to care for our community even as the election approaches constitution capitalism competition charity",2
516,Republican,"proud to be a continual supporter of angel force usa take a moment and check them out as this hits home for many of us 22 n n20 veterans and 1 active duty suicide daily n ngo to put a stop to this",2
517,Democrat,"proud to help kick off the tucsoneastrong canvass this morning with so many dedicated teachers and supportive candidates let s talk to voters about how a strong education system builds strong communities economies and lives",0
518,Republican,"putin puts his nuclear forces at higher readiness level potus joebiden naps at private residence in delaware n have you endorsed this course of action you and his entire administration should resign n n bidenisafailure impeachbiden",0
519,Democrat,"putting workers first means fighting tooth and nail for n n1 fair pay n2 safe working conditions n3 good health care and benefits n nrt if you re ready to give ohio the most pro-worker senate delegation in the this november",0
520,Republican,"rationalgenius 90swillyswonder self hate this is complete and utter disrespect for the latino brothers brainwashed by the new left sounds like you re one of them",0
521,Republican,"rbreich happy columbus day",0
522,Republican,"reading through 40 pages of governorva amendments to the budget for friday s session at noon",2
523,Republican,"realbencarson you can t be the land of the free if you re not the home of the brave you gotta be able to stand up and i know john will do that",0
524,Democrat,"realcruzthomas twitter he did a land exchange between bureau of land management and bullhead city and named a post office otherwise working class people still suffer and struggling with kitchen table issues he doesn t care about his constituents",0
525,Republican,"realdante12 lbc360 they voted for it they voted for the elected officials who then approve the mass invasion of thousands of military aged men into their country who then do not assimilate but instead commit crimes against the very voters who voted who voted for these elected officials",0
526,Republican,"reassert himself on the world stage asap",2
527,Republican,"rebecca and i are heartbroken over the tragedy that took place in uvalde yesterday we re horrified by the senseless violence and we re praying for the victims and their families n",2
528,Democrat,"redistricting is shifting florida s 15th district bluer than ever making it the best pickup opportunity for democrats in the entire country n nit is clearer than ever if you help me defeat scott franklin kevin mccarthy will never be speaker",0
529,Republican,"remembering the service and sacrifice of these 13 heroes today their bravery and willingness to risk their lives in service of others is truly amazing and it s something we should never forget",2
530,Republican,"remembering those who gave their lives to maintain the american way of life memorialday reichertforcongress copolitics co7",2
531,Republican,"reminder evanmcmullin spent years pushing the validity of the steele dossier n nevan is a deep-state",0
532,Republican,"reminder not a single member of gop leadership has spoken out against the political prosecution of steve bannon",0
533,Democrat,"rep scott franklin doesn t want the january 6th committee investigating him and his buddies n ni want them to hold everyone accountable",0
534,Republican,"repbeatty happy columbus day today we celebrate the discovery of america which led to the founding of the united states the greatest country in the world and defender of freedom",0
535,Republican,"repdinatitus or maybe 57 republicans were brave enough to say that sending 40 billion dollars that we don t have to a foreign government when our own people are suffering at home is not a wise decision stopthespending americansfirst defeatdina nv01",0
536,Republican,"replace fauci",0
537,Democrat,"repmiketurner treyyingst you can meet with zelensky but not your constituents way to go repmiketurner",0
538,Democrat,"riverside county is home to many retirees and seniors yet ken calvert keeps giving tax breaks to the rich rather than helping protect older americans i will prioritize supporting seniors by strengthening retirement income security reducing prescription drug costs and more",0
