id,party,tweet,alignment
270,Democrat,"i m working to cut taxes for you and your family jd vance thinks more money in your pockets is a gimmick n nwho do you want fighting for you in the senate",0
271,Democrat,"i met ian in 2005 when i worked at human rights watch he came to us to report detainee abuse at a forward operating base in iraq his account was significant because it proved that the abuses at abu ghraib were systemic not isolated incidents 2",0
272,Democrat,"i spent decades as an educator amp guidance counselor in our schools i find it appalling that the gop thinks it s acceptable for kids to learn how to hide from active shooters but not that sometimes kids have two moms",0
273,Democrat,"i sponsored legislation that will allow the government to use the seized assets from russian oligarchs to fund aid to ukraine i stand for freedom here and everywhere",0
274,Democrat,"i started this campaign with a promise to go to every corner of ohio and talk to every last ohioan for the next five weeks you can catch us doing just that on our workers first express n nlet s bring this home",2
275,Republican,"i took the time to complete ballotpedia s candidate survey to share my vision and goals you ll be able to see the responses on my profile shortly",2
276,Democrat,"i ve officially been endorsed by naral n ni have always and will always fight to safeguard our fundamental freedoms unlike my opponent with the future of abortion rights on the line building a pro-choice coalition to win this november could not be more important",0
277,Democrat,"i ve spent my entire life fighting for wisconsin as secretary of agriculture as state senator and soon to be as congressman n nderrick s running to bring radical maga policies here to wi03 and together we ll beat him",0
278,Democrat,"i was thrilled to join sengillibrand at ignite long island yesterday the senator s made in america manufacturing communities act is exactly what we need to create more high-paying union jobs right here in ny01 and secure our supply chain n n",0
279,Democrat,"i wholeheartedly endorse michelle she has the passion commitment and empathy needed to advocate for the constituents of district 15 alvarado said n via riogguardian",2
280,Democrat,"i will continue to put people over politics and deliver for hampton roads",2
281,Democrat,"i will never forget that horrible and shameful day n nthe personal fear and terror i experienced knowing our democracy was under attack as my colleagues and i were rushed from the house chamber will stay with me forever 1 2",0
282,Democrat,"ian fishback was a hero twice over he was a west point grad who served four combat tours in afghanistan and iraq and a deeply moral person who called out and helped end the torture of detainees in those wars n nhis death is heartbreaking and should be a call to action 1",2
283,Democrat,"ianlendler solar_rights thank you for defending the liberty of americans to produce electricity from the sunlight that shines on their homes",0
284,Republican,"icymi il appellate court dismisses gov pritzker s appeal as moot n n there is power in numbers amp i am proud to have joined parents from across the great state of illinois to defeat gov pritzker s mask mandate and stand up for parental choice n nfull statement twill il13",0
285,Democrat,"if anyone was curious i had to lose my verification status by changing my handle from jessep4congress to jessep4florida because of a new race",2
286,Democrat,"if it took our politicians over a decade to invest in our crumbling infrastructure how long will it take them to address other bubbling crises like a decreasing social security fund n nit s time for new leaders that can address the challenges of tomorrow before they happen",0
287,Democrat,"if washington won t do something about the price at the pump then it s time for our legislature to start leaning on the gas companies to stop inflating prices i don t know about you but green energy sounds like a great way to lower fuel prices amp create good paying jobs",0
288,Democrat,"if we want to get what we need in iowa we ve got to have the loudest proudest voices in congress to make sure we get these bills across the finish line n nthat s what i ve done every step of the way n",0
289,Democrat,"if you ask the same folks different questions you would find that they support peace n nwould you support an immediate end to the war in ukraine n nwould you support russian soldiers securing their weapons and beginning to help civilians",0
290,Democrat,"ilhan we need to pass federal legislation that explicitly protects all women s right to the full range of pregnancy care and support including safe abortion care medical decisions should be made between patients and their doctor not by politicians",0
291,Democrat,"imagine how much stronger our country would be and how much less divided we d be if pres biden guaranteed healthcare to every american and we provided a universal basic income",0
292,Republican,"in america we should always err on the side of freedom",0
293,Republican,"in case you missed it yesterday i m continuing my run for congress in va07 n nthe new district lines encompass my home it s where my family lives it s where i grew up and it can no longer be represented by abigail spanberger",0
294,Democrat,"in congress we ve passed laws like the bipartisan infrastructure bill and the chips act that bring investment jobs and opportunity back home to benefit michigan workers and our small businesses 2 3",0
295,Democrat,"in indiana",2
296,Republican,"in the last two years joshgottheimer traded stock in 326 companies and was involved in 43 potential conflicts of interest that s a big deal n nthis november let s fire insidertradergottheimer",0
297,Republican,"in the news congressional district 4 race n n national republican congressional committee nrcc is backing mesquite-based assemblywoman annie black who faces just two other opponents in the june primary",2
298,Democrat,"in the richest country on god s green earth no one should ever have to cut their pills in half to make their prescription last longer",0
299,Republican,"in the span of 6 wks we ve raised 130k reiterating our frontrunner status in the primary on both sides of the aisle i am the only candidate in il-06 that has a proven record of making our neighborhoods safe improving the economy amp lowering taxes n",0
300,Republican,"incredulousmike ___b___218 thehill mike do you honestly think banning ar15 will stop school shootings",0
